detail_url,status,shutdown_type,connection_type,region,summary,country,country_code,start_datetime,end_datetime,duration,duration_days,duration_category
https://pulse.internetsociety.org/en/shutdowns/social-media-blocked-in-gabon-february-2026/,Ongoing,Service blocking,"Facebook, Facebook Messenger, Instagram, Telegram, TikTok, YouTube",,"Gabon's High Authority for Communication (HAC) has ordered the indefinite suspension of major social media networks to ""protect national unity and prevent social conflict"" amid local unrest.",Gabon,GA,2026-02-18T00:00:00+00:00,,"6 days, 22 hours",7,<1 month
https://pulse.internetsociety.org/en/shutdowns/internet-suspended-in-assam-india-january-2026/,Ongoing,Regional shutdown,Mobile Internet,Assam,The Assam government has suspended mobile Internet services across Kokrajhar district as part of measures to control local unrest.,India,IN,2026-01-20T07:00:00+00:00,,"35 days, 15 hours",36,1-3 months
https://pulse.internetsociety.org/en/shutdowns/internet-services-blocked-in-uganda-january-2026/,Ongoing,National shutdown,"Mobile Internet, Broadband",,The Uganda Communications Commission (UCC) ordered the social media platforms to be blocked to safeguard against misuse that could threaten public order following the national elections on 15 January 2026.,Uganda,UG,2026-01-17T20:00:00+00:00,,"38 days, 2 hours",38,1-3 months
https://pulse.internetsociety.org/en/shutdowns/blackout-in-iran/,Ongoing,National shutdown,Iran,,"Starting on the 12th day of nationwide protests, Internet traffic in Iran dropped to near zero around 20:00 local time (16:30 UTC) on 8 January 2026. Many local websites also became unreachable, including those of the main local news agencies.The shutdown was implemented by cutting almost all connectivity to Iran.",Iran,IR,2026-01-08T16:30:00+00:00,,"47 days, 6 hours",47,1-3 months
https://pulse.internetsociety.org/en/shutdowns/internet-suspended-in-balochistan-pakistan-august-2025/,Ongoing,Regional shutdown,Mobile Internet,Balochistan,The Pakistan Telecommunication Authority (PTA) has reportedly ordered Internet Service Providers to suspend mobile Internet services in the Balochistan region due to security concerns.,Pakistan,PK,2025-08-05T16:00:00+00:00,,"203 days, 6 hours",203,6-12 months
https://pulse.internetsociety.org/en/shutdowns/blocking-of-services-in-togo/,Ongoing,Service blocking,"Facebook, Signal, Telegram",,"Amid political unrest in Togo, the government is limiting access to multiple services on the three major networks of the country, Yas Togo (TogoTelecom), CanalBox (GVA CanalBox), and Moov Togo (Atlantique Telecom).The affected services are mainly social media and instant messaging apps, including Facebook, Telegram, and Signal, as well as YouTube and DuckDuckGo.",Togo,TG,2025-06-26T07:00:00+00:00,,"243 days, 15 hours",244,6-12 months
https://pulse.internetsociety.org/en/shutdowns/internet-suspended-in-kuristan-iraq-feb-2025/,Ongoing,Regional shutdown,Iraq,Kurdistan,"There are reports that Iraq’s Communications and Media Commission has ordered upstream providers to suspend Internet connectivity to local Internet Service Provider KorekTel due to ""non-compliance with paying outstanding debts and continued violations” and “to encourage” the telecom company to “settle its debts.”",Iraq,IQ,2025-02-18T11:00:00+00:00,,"371 days, 11 hours",371,1-2 years
https://pulse.internetsociety.org/en/shutdowns/internet-services-suspended-in-balochistan-pakistan-november-2024/,Ongoing,Regional shutdown,Mobile Internet,Balochistan,Local authorities have suspended mobile Internet services in multiple areas of Balochistan amidst an ongoing military operation.,Pakistan,PK,2024-11-15T00:00:00+00:00,,"466 days, 22 hours",467,1-2 years
https://pulse.internetsociety.org/en/shutdowns/internet-suspended-in-annobon-equatorial-guinea-august-2024/,Ongoing,Regional shutdown,Equatorial Guinea,Annobón,"Equatorial Guinea authorities ordered fixed and mobile Internet services to be suspended in Annobón from 20 July, following demonstrations against environmental exploitation, restricting people’s ability to exercise their human rights. Further reports suggest that the Ministry of Transport, Post, and Telecommunications ordered  Starlink to suspend its satellite Internet from 7 August.",Equatorial Guinea,GQ,2024-07-20T00:00:00+00:00,,"584 days, 22 hours",585,1-2 years
https://pulse.internetsociety.org/en/shutdowns/internet-disconnected-in-gaza/,Ongoing,Regional shutdown,"Palestine, State of",Gaza Strip,"Internet connectivity into Gaza started being limited on the afternoon of 7 October 2023, coinciding with military activities by the Israeli forces, following attacks by Hamas militants across the border wall in southern Israel earlier that day.","Palestine, State of",PS,2023-10-07T14:00:00+00:00,,"871 days, 8 hours",871,2-5 years
